Transaction ID,Transaction
Trans1,"Diapers, Toothpaste, T-shirt, Smartphone"
Trans2,"Diapers, Toothpaste, T-shirt"
Trans3,"Diapers, Toothpaste, T-shirt, Tennis Shoes"
Trans4,"Diapers, T-shirt, Smartphone"
Trans5,"Diapers, Toothpaste, T-shirt, Coffee, Headphones"
Trans6,"Diapers, Toothpaste, Smartphone"
Trans7,"Diapers, Toothpaste, T-shirt, Coffee, Headphones, Towels"
Trans8,"Toothpaste, T-shirt, Smartphone, Baby Formula"
Trans9,"Toothpaste, T-shirt, Smartphone, Book"
Trans10,"Diapers, Toothpaste, T-shirt, Coffee"
Trans11,"Diapers, T-shirt, Coffee, Headphones"
Trans12,"Diapers, Toothpaste, T-shirt, Coffee, Towels"
Trans13,"Diapers, T-shirt, Coffee, Tennis Shoes"
Trans14,"Diapers, T-shirt, Coffee, Baby Formula"
Trans15,"Diapers, Toothpaste, T-shirt, Smartphone, Book"
Trans16,"Diapers, Toothpaste, T-shirt, Coffee, Tennis Shoes"
Trans17,"Diapers, T-shirt, Coffee, Headphones, Towels"
Trans18,"Diapers, Toothpaste, T-shirt, Smartphone, Towels"
Trans19,"Diapers, Toothpaste, T-shirt, Coffee, Tennis Shoes, Baby Formula"
Trans20,"Diapers, Toothpaste, T-shirt, Coffee, Headphones, Book"
